id,title,houseIcon,dealDate,totalPrice,positionIcon,source,unitPrice,dealHouseTxt
21094,六合园 2室1厅 70.12平米,西 北 | 精装 | 有电梯,2016.02.24,245,中楼层(共22层) 1995年建塔楼,链家成交,35000,3000
21095,京汉旭城三期 1室1厅 50平米,南 | 其他 | 有电梯,2016.02.24,200,底层(共9层) 板楼,链家成交,40000,3000
21096,远洋山水 2室2厅 96.03平米,南 北 | 简装 | 有电梯,2016.02.24,455,低楼层(共26层) 2007年建板塔结合,链家成交,47395,3000
21098,远洋沁山水 3室1厅 87.43平米,南 北 | 精装 | 有电梯,2016.02.22,550,底层(共21层) 2009年建板楼,链家成交,63218,710
21099,杨庄中区 2室1厅 73.93平米,南 北 | 精装 | 有电梯,2016.02.21,215,中楼层(共16层) 1996年建板楼,链家成交,29452,3000
21100,远洋山水 2室2厅 116.61平米,南 | 精装 | 有电梯,2016.02.21,515,低楼层(共27层) 2007年建板楼,链家成交,44396,3000
21101,金谷香郡 3室1厅 102.3平米,南 北 | 精装 | 有电梯,2016.02.21,330,高楼层(共6层) 2012年建板楼,链家成交,32352,3000
21102,古城南里 1室1厅 45.5平米,南 | 精装 | 有电梯,2016.02.21,156,中楼层(共16层) 1983年建塔楼,链家成交,34666,232
21103,永乐东区 2室1厅 55.97平米,南 | 精装 | 无电梯,2016.02.21,200,中楼层(共6层) 1991年建板楼,链家成交,36363,922
21104,古城南里 1室1厅 40.66平米,南 | 精装 | 有电梯,2016.02.21,142,中楼层(共14层) 1985年建板楼,链家成交,35500,84
21105,京汉旭城三期 1室1厅 69.24平米,南 | 精装 | 有电梯,2016.02.20,225,未知(共8层) 板楼,链家成交,32608,3000
21106,远洋沁山水 3室2厅 148.14平米,东 西 | 简装 | 有电梯,2016.02.20,705,低楼层(共23层) 2011年建板楼,链家成交,47635,3000
21109,远洋沁山水 2室1厅 88.41平米,南 北 | 精装 | 有电梯,2016.02.20,560,高楼层(共18层) 2009年建板楼,链家成交,63636,1082
21110,远洋沁山水 1室1厅 61.85平米,西 | 精装 | 有电梯,2016.02.19,305,高楼层(共18层) 2011年建板楼,链家成交,50000,3000
21112,杨庄中区 2室1厅 83.12平米,东 南 | 简装 | 有电梯,2016.02.19,222,高楼层(共18层) 1997年建塔楼,链家成交,26746,3000
21113,远洋沁山水 3室2厅 144.72平米,东 西 | 精装 | 有电梯,2016.02.18,830,低楼层(共23层) 2011年建板楼,链家成交,57638,3000
